asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error
ICP,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.25,3.25,9.5,10.0,9,23,11,18,52,1.4626203106891023,10.260132992099402,306,0.37405312376251043,0.7102519296398269,123,0.7378534290506237,1.3733219653556006,73,-2.383670267502691,1.194715982385489,0.5044736652829536,0.336,
HBAR,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,1.5,2.5,6.0,8.0,9,31,11,19,52,2.2123286939742797,16.684238628555526,354,-1.8606083285628143,-4.636596377776536,126,2.510368357750194,6.292668111377675,123,-2.369865365764623,1.5388305176312032,1.1347176233747205,0.0,
EGLD,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,4.5,2.25,3.5,8.5,5,20,8,20,52,2.8083645477104575,8.332079916676971,294,1.32774224618247,1.5983144999094145,123,1.7080587473782982,1.8225719365509319,93,-1.5352047901706856,1.4376852854102484,0.6082040697924375,0.01,
IMX,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,5.0,2.0,3.0,6.5,5,23,8,28,52,2.059033372576555,5.597374362588492,312,-2.9202648196980854,-3.9476033257969223,117,1.2669624172328302,1.2108933419594514,96,-1.2841531211342572,1.337196783489803,0.6153190298452652,0.07,
YGG,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,1.5,4.75,7.5,9.0,11,39,9,25,52,3.972625383223788,36.47266214407794,273,0.03023011296732116,-0.02316262230580568,129,3.2778323572830326,11.633378663918803,102,-1.9385724973431273,2.0851686636865083,0.8251048213922123,0.002,
CELO,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,2.5,2.5,9.0,10.0,9,31,11,19,52,2.450395970094179,14.711281084925343,333,-0.9793715188128157,-1.9933952099350782,121,2.509672125098515,4.23316874909716,97,-2.03790494592222,1.6634334929567152,1.0241904393117565,0.006,
ARKM,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.0,5.0,8.5,9.0,13,26,8,20,52,1.6076441111594395,12.34525369200201,297,0.24790719750251777,0.6053668020729042,105,0.7955211237434591,1.9358158683902449,90,-2.6131798171207365,1.185203298079986,0.49483658617063325,0.066,
AR,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,1.5,4.0,5.5,8.0,8,28,9,22,52,2.6492009695658063,21.020654329327137,324,2.97353782430354,9.001611921926877,138,2.79980821075675,7.620260200562812,96,-2.57004661344179,1.7506006607858304,1.0568500626872515,0.014,
ANKR,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,5.0,2.0,8.0,9.5,20,25,16,25,52,3.925433475633925,10.618268868173386,252,1.080180442812077,1.1740854457312766,93,3.661293279696033,3.0652750462279554,66,-0.5229265916006032,2.857538861127865,0.9327105662145413,0.0,
W,SUCCESS,binance,1H,2024-04-03,2026-01-21,15794,42,,5.0,2.25,6.0,8.5,8,23,8,30,52,1.9251225868396562,4.847764658454334,192,-1.6250542740085054,-1.6491099263113207,78,1.8954094778262762,1.8092673708626883,87,-2.16292135026136,1.5005080450509174,0.9845656015796075,0.018,
STRK,SUCCESS,binance,1H,2024-02-20,2026-01-21,16825,42,,2.0,3.25,5.5,7.5,20,20,12,29,52,1.9000630840285402,10.663340311824987,282,-0.3672256831117132,-0.8233028775349371,126,1.7772129831313352,3.6788015430105014,106,-2.3970592994647655,1.3694066120313946,0.9353441988690521,0.146,
METIS,SUCCESS,binance,1H,2024-03-11,2026-01-21,16346,42,,1.5,4.75,7.5,10.0,16,20,13,16,52,3.3366269022157375,32.041641124962105,339,0.42883489487743043,0.9592817927562169,90,2.651696265935433,7.407719030392834,93,-2.603195905547273,1.6992837130742127,0.794723636668677,0.0,
AEVO,SUCCESS,binance,1H,2024-03-13,2026-01-21,16300,42,,4.5,2.5,5.5,9.5,9,31,11,19,52,1.8781223471013013,5.741456332028849,237,0.15699172531653585,0.1657860389684851,96,1.719505437727277,1.74225519631368,78,-1.144888380343001,1.5567200091967646,0.9155449539169618,0.05,
