asset,guard001_pass,guard002_pass,guard003_pass,guard005_pass,guard006_pass,guard007_pass,all_pass,error,base_sharpe,guard001_p_value,guard002_variance_pct,guard003_sharpe_ci_lower,guard005_top10_pct,guard006_stress1_sharpe,guard007_mismatch_pct,guard_wfe,guard_wfe_pass
YGG,False,False,False,False,False,False,False,"float() argument must be a string or a real number, not 'complex'",,,,,,,,,
HBAR,True,False,False,True,False,True,False,,1.4188088810519068,0.008,13.011305473620313,0.5291866288639934,34.27331554857193,0.7206480625277524,0.0,1.1347176233747205,True
EGLD,True,True,True,True,True,True,True,,2.393334316834028,0.0,5.4345527870835895,2.4987102846508016,15.056853960599343,1.8941090088325407,1.835600135781887e-14,0.6082040697924375,True
STRK,False,False,False,False,False,False,False,"float() argument must be a string or a real number, not 'complex'",,,,,,,,,
METIS,False,False,False,False,False,False,False,"float() argument must be a string or a real number, not 'complex'",,,,,,,,,
AEVO,False,False,False,False,False,False,False,"float() argument must be a string or a real number, not 'complex'",,,,,,,,,
IMX,True,False,False,True,False,True,False,,0.859840409972076,0.018,28.876459107029135,-0.2557989081014839,30.64422208587428,0.5035660902850461,1.3552809942597713e-14,0.6153190298452652,True
AR,True,True,True,True,True,True,True,,2.736863821475128,0.0,6.766076871593987,2.812985086548565,17.48645978058736,2.3092269572797695,2.4150979306595947e-14,1.0568500626872517,True
CELO,True,False,True,True,True,True,False,,1.8339477505453248,0.0,11.330960990562232,1.3218021188069982,30.657904869365677,1.375634518082087,0.0,1.0241904393117565,True
ANKR,True,True,True,True,True,True,True,,3.393795387187651,0.0,5.848422871774087,4.330680202967162,15.310771888342028,2.9779359989684817,0.0,0.9327105662145412,True
W,True,True,False,True,False,True,False,,1.1516091457115865,0.003,9.917582555640019,0.12428192570556815,34.95574299263271,0.9040262314608107,1.1127110803272276e-14,0.9845656015796076,True
