asset,source,pbo_100T,pbo_verdict,sharpe_oos,wfe,trades_oos,guards_pass,tier,prod_ready
AXS,PR#20,0.3333,PASS,1.21,N/A,N/A,Unknown,TIER1,YES
SOL,CHALLENGER,0.3333,PASS,2.96,1.27,96,Unknown,TIER1,YES
AVAX,CHALLENGER,0.1333,PASS,2.05,0.42,111,Unknown,TIER1,YES
ETH,PR#21,0.1333,PASS,3.21,1.81,69,ALL_PASS,TIER1,YES
YGG,PR#21,0.4000,PASS,3.40,0.89,72,ALL_PASS,TIER1,YES
EGLD,PR#21,0.5333,QUARANTINE,2.08,0.68,87,ALL_PASS,TIER2,PENDING
SUSHI,PR#21,0.6000,QUARANTINE,2.51,0.75,96,ALL_PASS,TIER2,PENDING
MINA,PR#21,0.5333,QUARANTINE,2.12,0.94,69,ALL_PASS,TIER2,PENDING
TON,PR#21,0.6000,QUARANTINE,1.45,0.74,63,FAIL,TIER3,NO
HBAR,PR#21,0.6000,QUARANTINE,2.05,0.85,117,FAIL,TIER3,NO
CRV,PR#21,0.8667,EXCLU,2.60,12.38,93,FAIL,TIER3,NO
CAKE,PR#21,0.9333,EXCLU,2.56,0.90,84,ALL_PASS,TIER3,NO
GALA,PR#20,0.4667,PASS,-0.62,N/A,N/A,Unknown,PENDING,NO_NEGATIVE_SHARPE
ZIL,PR#20,0.4667,PASS,-2.13,N/A,N/A,Unknown,PENDING,NO_NEGATIVE_SHARPE
