asset,total_bars,wfe_tier,trend_weak_bear,trend_weak_bull,trend_sideways,trend_strong_bear,trend_strong_bull,trend_reversal,sideways_pct,crypto_accumulation,crypto_markdown,crypto_markup,crypto_capitulation,crypto_recovery,crypto_distribution,regime_stability_bars,mean_composite_score,favorable_pct
SHIB,17520,extreme,26.07,24.17,16.91,12.09,10.59,10.16,16.91,85.45,9.06,5.13,0.17,0.11,0.09,3.2,-0.023,45.5
DOT,17520,extreme,21.98,20.82,29.07,14.06,12.67,1.41,29.07,84.13,9.03,6.35,0.33,0.03,0.14,4.2,-0.018,46.3
TIA,17520,moderate,20.71,17.48,27.74,18.47,13.84,1.76,27.74,78.88,14.32,5.68,0.51,0.23,0.38,4.0,-0.041,42.5
NEAR,17520,normal,21.87,19.46,27.01,15.07,15.11,1.47,27.01,81.01,11.01,7.12,0.47,0.12,0.27,4.0,-0.013,47.4
DOGE,17520,normal,23.62,23.3,17.67,13.74,13.22,8.45,17.67,83.81,9.12,6.52,0.37,0.09,0.1,3.3,-0.008,48.3
ANKR,17520,normal,25.03,24.9,17.03,12.59,11.03,9.42,17.03,84.75,10.19,4.61,0.26,0.1,0.1,3.2,-0.014,47.5
ETH,17520,moderate,17.83,20.19,38.96,11.11,10.7,1.22,38.96,86.19,6.07,7.52,0.13,0.02,0.07,5.0,0.01,52.0
JOE,17520,normal,23.5,22.21,18.5,15.69,14.13,5.96,18.5,82.55,11.32,5.37,0.54,0.13,0.11,3.4,-0.016,46.9
YGG,17520,normal,23.9,21.3,18.51,16.7,15.01,4.58,18.51,80.27,12.35,6.27,0.72,0.2,0.19,3.5,-0.018,46.6
MINA,17520,moderate,23.92,23.32,18.79,15.49,12.51,5.98,18.79,82.54,11.57,5.3,0.41,0.13,0.06,3.3,-0.025,45.7
CAKE,17520,normal,22.09,21.18,27.01,14.06,13.01,2.63,27.01,83.5,9.36,6.34,0.43,0.18,0.19,3.9,-0.011,48.4
RUNE,17520,normal,21.48,18.86,26.62,15.4,13.9,3.74,26.62,81.71,10.58,6.6,0.73,0.15,0.23,3.9,-0.017,46.2
EGLD,17520,normal,18.41,18.52,34.76,15.35,12.12,0.84,34.76,83.67,10.24,5.41,0.29,0.13,0.27,4.6,-0.025,45.8
AVAX,17520,normal,18.42,16.91,35.02,15.11,13.6,0.95,35.02,82.69,9.87,6.84,0.38,0.07,0.14,4.6,-0.014,47.2
